 ,home,,,,away,,,,finals,,,,,total,,,
Team  ,W-D-L  ,For,Agn  ,%  ,W-D-L  ,For,Agn  ,%  ,W-D-L  ,,For-Agn  ,,%  ,W-D-L  ,,For-Agn  ,%  
Adelaide,182-24-134,6580,5968,110.25,103-18-219,5875,6702,87.66,16/02/2018,,655-652,,100.46,301-44-371,,13110-13322,98.41
Brisbane Bears,65-5-39,2724,2497,109.09,44-3-62,2568,2694,95.32,2-0-2,,75-70,,107.14,111-8-103,,5367-5261,102.01
Brisbane Lions,129-15-132,4918,4906,100.24,103-12-160,4815,5272,91.33,14/02/2011,,454-455,,99.78,246-29-303,,10187-10633,95.81
Carlton,325-36-256,16485,16050,102.71,242-32-343,15865,16945,93.63,35-6-28,,2057-1965,,104.68,602-74-627,,34407-34960,98.42
Collingwood,356-31-230,16684,15441,108.05,273-29-311,15864,16007,99.11,46-5-30,,2246-2183,,102.89,675-65-571,,34794-33631,103.46
Essendon,345-30-241,16918,15930,106.2,235-41-341,15685,16589,94.55,23/04/1933,,1434-1486,,96.5,603-75-615,,34037-34005,100.09
Fitzroy,214-21-107,11902,10668,111.57,194-13-135,11487,10948,104.92,6/01/2003,,353-336,,105.06,414-35-245,,23742-21952,108.15
Fremantle,159-20-120,5751,5384,106.82,101-20-175,4941,5561,88.85,3-0-12,,245-297,,82.49,263-40-307,,10937-11242,97.29
Geelong,336-31-250,17001,15952,106.58,235-37-341,15488,16326,94.87,40-6-34,,1856-1798,,103.23,611-74-625,,34345-34076,100.79
Gold Coast,55-11-57,2264,2216,102.17,45-11-64,2071,2243,92.33, ,, ,, ,100-22-121,,4335-4459,97.22
Greater Western Sydney,57-3-50,2099,2071,101.35,37-5-69,1944,2244,86.63,4-0-9,,251-297,,84.51,98-8-128,,4294-4612,93.1
Hawthorn,253-41-322,15815,16487,95.92,191-38-388,15126,17173,88.08,35-6-38,,2102-2181,,96.38,479-85-748,,33043-35841,92.19
Melbourne,289-33-295,15598,15454,100.93,236-40-338,15555,16665,93.34,17/02/2015,,750-735,,102.04,542-75-648,,31903-32854,97.11
North Melbourne,345-24-248,16110,15542,103.65,257-44-317,15292,16078,95.11,25/08/1933,,1759-1845,,95.34,627-76-598,,33161-33465,99.09
Port Adelaide,175-16-85,5397,4781,112.88,107-16-152,4902,5418,90.48,15/01/2011,,498-462,,107.79,297-33-248,,10797-10661,101.28
Richmond,312-24-279,15854,15702,100.97,253-29-334,15785,16840,93.74,24/01/2023,,1478-1500,,98.53,589-54-636,,33117-34042,97.28
St Kilda,347-38-226,16896,15681,107.75,250-43-327,16041,16456,97.48,19/02/2022,,1102-1056,,104.36,616-83-575,,34039-33193,102.55
Sydney,319-44-251,16469,15647,105.25,246-36-338,16327,16882,96.71,16/04/1931,,951-1031,,92.24,581-84-620,,33747-33560,100.56
West Coast,257-26-103,8245,7088,116.32,160-31-192,7426,7761,95.68,27/05/2023,,1095-1070,,102.34,444-62-318,,16766-15919,105.32
Western Bulldogs,390-38-188,17578,15633,112.44,304-41-272,16295,16124,101.06,22/05/2013,,890-835,,106.59,716-84-473,,34763-32592,106.66
